# Matter power spectrum P(k) at redshift z=0
# for k=2.08411e-07 to 10.7451 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.084114436367e-07       1.104018934172e+00 
       8.539405910373e-07       4.312091490849e+00 
       1.499473755940e-06       7.428446185478e+00 
       2.145015290171e-06       1.049809567157e+01 
       2.790569545710e-06       1.353610540883e+01 
       3.436140874791e-06       1.655020769418e+01 
       4.081733629995e-06       1.954512803148e+01 
       4.727352164356e-06       2.252405838327e+01 
       5.373000831452e-06       2.548930151782e+01 
       6.018683985503e-06       2.844259840993e+01 
       6.664405981473e-06       3.138531242911e+01 
       7.310171175167e-06       3.431854095078e+01 
       7.955983923324e-06       3.724318694429e+01 
       8.601848583722e-06       4.016000700361e+01 
       9.247769515271e-06       4.306964477334e+01 
       9.893751078113e-06       4.597265492745e+01 
       1.053979763372e-05       4.886952081707e+01 
       1.118591354499e-05       5.176066774632e+01 
       1.183210317635e-05       5.464647315028e+01 
       1.247837089385e-05       5.752727452843e+01 
       1.312472106526e-05       6.040337571952e+01 
       1.377115806017e-05       6.327505192937e+01 
       1.441768625010e-05       6.614255380666e+01 
       1.506431000858e-05       6.900611078151e+01 
       1.571103371126e-05       7.186593382637e+01 
       1.635786173598e-05       7.472221775872e+01 
       1.700479846294e-05       7.757514317684e+01 
       1.765184827472e-05       8.042487809897e+01 
       1.829901555642e-05       8.327157936030e+01 
       1.894630469574e-05       8.611539381115e+01 
       1.959372008310e-05       8.895645935025e+01 
       2.024126611174e-05       9.179490582071e+01 
       2.088894717778e-05       9.463085579052e+01 
       2.153676768037e-05       9.746442523584e+01 
       2.218473202175e-05       1.002957241416e+02 
       2.283284460739e-05       1.031248570313e+02 
       2.348110984603e-05       1.059519234372e+02 
       2.412953214985e-05       1.087770183169e+02 
       2.477811593451e-05       1.116002324269e+02 
       2.542686561930e-05       1.144216526546e+02 
       2.607578562719e-05       1.172413623187e+02 
       2.672488038497e-05       1.200594414376e+02 
       2.737415432334e-05       1.228759669729e+02 
       2.802361187700e-05       1.256910130491e+02 
       2.867325748475e-05       1.285046511533e+02 
       2.932309558961e-05       1.313169503165e+02 
       2.997313063892e-05       1.341279772789e+02 
       3.062336708441e-05       1.369377966409e+02 
       3.127380938233e-05       1.397464710013e+02 
       3.192446199354e-05       1.425540610837e+02 
       3.257532938362e-05       1.453606258530e+02 
       3.322641602297e-05       1.481662226227e+02 
       3.387772638690e-05       1.509709071530e+02 
       3.452926495575e-05       1.537747337424e+02 
       3.518103621498e-05       1.565777553117e+02 
       3.583304465527e-05       1.593800234823e+02 
       3.648529477264e-05       1.621815886482e+02 
       3.713779106854e-05       1.649825000436e+02 
       3.779053804994e-05       1.677828058050e+02 
       3.844354022946e-05       1.705825530301e+02 
       3.909680212546e-05       1.733817878314e+02 
       3.975032826216e-05       1.761805553876e+02 
       4.040412316970e-05       1.789788999902e+02 
       4.105819138428e-05       1.817768650889e+02 
       4.171253744829e-05       1.845744933322e+02 
       4.236716591034e-05       1.873718266071e+02 
       4.302208132543e-05       1.901689060753e+02 
       4.367728825502e-05       1.929657722080e+02 
       4.433279126716e-05       1.957624648178e+02 
       4.498859493658e-05       1.985590230898e+02 
       4.564470384478e-05       2.013554856098e+02 
       4.630112258018e-05       2.041518903918e+02 
       4.695785573819e-05       2.069482749036e+02 
       4.761490792131e-05       2.097446760909e+02 
       4.827228373929e-05       2.125411304001e+02 
       4.892998780916e-05       2.153376738005e+02 
       4.958802475542e-05       2.181343418043e+02 
       5.024639921006e-05       2.209311694864e+02 
       5.090511581274e-05       2.237281915029e+02 
       5.156417921088e-05       2.265254421086e+02 
       5.222359405973e-05       2.293229551738e+02 
       5.288336502252e-05       2.321207642001e+02 
       5.354349677058e-05       2.349189023355e+02 
       5.420399398338e-05       2.377174023890e+02 
       5.486486134873e-05       2.405162968443e+02 
       5.552610356282e-05       2.433156178727e+02 
       5.618772533034e-05       2.461153973456e+02 
       5.684973136465e-05       2.489156668469e+02 
       5.751212638781e-05       2.517164576839e+02 
       5.817491513074e-05       2.545178008985e+02 
       5.883810233331e-05       2.573197272773e+02 
       5.950169274447e-05       2.601222673622e+02 
       6.016569112233e-05       2.629254514595e+02 
       6.083010223433e-05       2.657293096491e+02 
       6.149493085728e-05       2.685338717934e+02 
       6.216018177753e-05       2.713391675459e+02 
       6.282585979106e-05       2.741452263592e+02 
       6.349196970358e-05       2.769520774925e+02 
       6.415851633068e-05       2.797597500195e+02 
       6.482550449791e-05       2.825682728356e+02 
       6.549293904091e-05       2.853776746643e+02 
       6.616082480554e-05       2.881879840646e+02 
       6.682916664795e-05       2.909992294368e+02 
       6.749796943474e-05       2.938114390291e+02 
       6.816723804307e-05       2.966246409434e+02 
       6.883697736074e-05       2.994388631410e+02 
       6.950719228636e-05       3.022541334483e+02 
       7.017788772943e-05       3.050704795620e+02 
       7.084906861047e-05       3.078879290544e+02 
       7.152073986112e-05       3.107065093784e+02 
       7.219290642429e-05       3.135262478722e+02 
       7.286557325427e-05       3.163471717641e+02 
       7.353874531684e-05       3.191693081772e+02 
       7.421242758936e-05       3.219926841332e+02 
       7.488662506097e-05       3.248173265574e+02 
       7.556134273262e-05       3.276432622822e+02 
       7.623658561726e-05       3.304705180514e+02 
       7.691235873993e-05       3.332991205241e+02 
       7.758866713787e-05       3.361290962781e+02 
       7.826551586067e-05       3.389604718139e+02 
       7.894290997038e-05       3.417932735583e+02 
       7.962085454163e-05       3.446275278673e+02 
       8.029935466175e-05       3.474632610299e+02 
       8.097841543091e-05       3.503004992715e+02 
       8.165804196223e-05       3.531392687563e+02 
       8.233823938191e-05       3.559795955911e+02 
       8.301901282935e-05       3.588215058282e+02 
       8.370036745728e-05       3.616650254677e+02 
       8.438230843190e-05       3.645101804611e+02 
       8.506484093296e-05       3.673569967137e+02 
       8.574797015396e-05       3.702055000871e+02 
       8.643170130220e-05       3.730557164023e+02 
       8.711603959896e-05       3.759076714418e+02 
       8.780099027961e-05       3.787613909524e+02 
       8.848655859376e-05       3.816169006475e+02 
       8.917274980534e-05       3.844742262096e+02 
       8.985956919278e-05       3.873333932923e+02 
       9.054702204913e-05       3.901944275231e+02 
       9.123511368215e-05       3.930573545051e+02 
       9.192384941450e-05       3.959221998196e+02 
       9.261323458385e-05       3.987889890280e+02 
       9.330327454299e-05       4.016577476738e+02 
       9.399397465999e-05       4.045285012848e+02 
       9.468534031833e-05       4.074012753751e+02 
       9.537737691701e-05       4.102760954471e+02 
       9.607008987073e-05       4.131529869932e+02 
       9.676348460997e-05       4.160319754978e+02 
       9.745756658119e-05       4.189130864391e+02 
       9.815234124689e-05       4.217963452912e+02 
       9.884781408581e-05       4.246817775255e+02 
       9.954399059305e-05       4.275694086124e+02 
       1.002408762802e-04       4.304592640235e+02 
       1.009384766754e-04       4.333513692328e+02 
       1.016367973238e-04       4.362457497186e+02 
       1.023358437871e-04       4.391424309649e+02 
       1.030356216444e-04       4.420414384633e+02 
       1.037361364917e-04       4.449427977144e+02 
       1.044373939425e-04       4.478465342293e+02 
       1.051393996278e-04       4.507526735313e+02 
       1.058421591961e-04       4.536612411571e+02 
       1.065456783138e-04       4.565722626587e+02 
       1.072499626649e-04       4.594857636043e+02 
       1.079550179519e-04       4.624017695805e+02 
       1.086608498952e-04       4.653203061927e+02 
       1.093674642334e-04       4.682413990676e+02 
       1.100748667240e-04       4.711650738537e+02 
       1.107830631428e-04       4.740913562230e+02 
       1.114920592846e-04       4.770202718724e+02 
       1.122018609628e-04       4.799518465249e+02 
       1.129124740102e-04       4.828861059311e+02 
       1.136239042788e-04       4.858230758700e+02 
       1.143361576397e-04       4.887627821509e+02 
       1.150492399838e-04       4.917052506143e+02 
       1.157631572216e-04       4.946505071331e+02 
       1.164779152833e-04       4.975985776140e+02 
